,Elbow_Flex_Ext,Humeral_Pro_Ret,Humeral_Dep_Ele,fore-aft,lateral,normal
0,77.64326027046657,81.75757923335384,55.41713286097969,0.03991,0.16684000000000002,0.4724100000000001
1,76.5641100818778,81.77217859645772,58.15433322768095,0.035930000000000004,0.15117,0.47438
2,76.55532936416864,81.70934203475505,58.18318798866842,0.02908,0.15026,0.47738
3,76.56564447597941,81.70736787271805,58.1572542918765,0.01754,0.16835,0.48513
4,76.5641100818778,81.77217859645772,58.15433322768095,0.0333,0.13962,0.48989
5,76.55532936416864,81.80750980063408,58.225096616394026,0.0229,0.16535999999999998,0.4712
6,76.60898975872688,81.74567381716966,58.069461507948205,0.05936,0.15078,0.4854100000000001
7,76.52326109150383,81.8085786003825,58.069461507948205,0.05932000000000001,0.14989,0.47798
8,76.59024581605458,81.82130189765965,58.231947800411184,0.0509,0.15163,0.475
9,76.55332952152783,81.80508522223016,58.211151536861685,0.06824,0.14874,0.49022
10,76.6102743374678,81.77022039504034,58.157140173566866,0.03263,0.16747,0.47322
11,76.5248247597395,81.75213042589067,58.176179756340105,0.04422,0.16706,0.45577
12,76.57561203467746,81.70662937983124,58.17908836131997,0.031389999999999994,0.17348,0.46252
13,76.55332952152783,81.77137437190505,58.14736159781789,0.05049,0.15642,0.48633
14,76.55208159714198,81.70662937983124,58.17908836131997,0.03024,0.14758,0.4658600000000001
15,76.57718525581481,81.6951221232204,58.071350753014286,0.06306,0.14439000000000002,0.47381
16,76.5749332900832,81.70466632430994,58.13529163983686,0.03596,0.16178,0.47443
17,76.5749332900832,81.80114111313397,58.25352335338873,0.06176,0.17762999999999998,0.4635
18,76.55332952152783,81.70662937983124,58.15022310625331,0.03814,0.18689,0.46002
19,76.57561203467746,81.74034687605322,58.0395616061133,0.030410000000000006,0.16696,0.46762
20,76.5749332900832,81.78477548890517,58.12756859362712,0.05938,0.17103,0.46134
21,76.5671451153833,81.7678966411883,58.180206554349816,0.03129,0.15474000000000002,0.46421
22,76.59720507046582,81.8205104955383,58.22509822327813,0.03528,0.14970999999999998,0.46068
23,76.54485011234506,81.75056977697501,58.095115803539066,0.06029,0.16349,0.46427
24,76.59720507046582,81.72037244084868,58.249860500870284,0.07751,0.17875,0.4657
25,76.59720507046582,81.7851797255222,58.15430904208537,0.01823,0.16884000000000002,0.45708
26,76.60245796994414,81.7678966411883,58.180206554349816,0.06272,0.21324,0.46562
27,76.59720507046582,81.72037244084868,58.18603296225851,0.04083,0.18301,0.47265
28,76.63255139142701,81.72037244084868,58.18603296225851,0.05695,0.1646,0.4759100000000001
29,76.5749332900832,81.82145267482835,58.069227968793506,0.03817,0.14113,0.46078
30,76.63255139142701,81.8205104955383,58.22509822327813,0.032330000000000005,0.17107999999999998,0.46257
31,76.63255139142701,81.72037244084868,58.157158015449454,0.06029,0.16959000000000002,0.47035
32,76.59720507046582,81.8031213890755,58.14032613860444,0.04135,0.16355999999999998,0.48155
33,76.66405392236585,81.76635990001564,58.099051255731574,0.008879999999999999,0.17862,0.4713600000000001
34,76.62065844559733,81.78145959492309,58.330916530976836,0.06042,0.17396,0.47158
35,76.56852763484991,81.71831226335027,58.27517868842516,0.07711,0.17711,0.46115
36,76.57548423508011,81.76864071000489,58.032443348737814,0.051,0.20356,0.47249
37,76.6004275658482,81.76666510677875,58.1460360825303,0.05845,0.17137,0.46702
38,76.5970867734887,81.7019182483312,58.148898957840146,0.04438,0.15043,0.45932
39,76.62205004210047,81.76470660461011,58.14894489387775,0.03292,0.13017,0.47316
40,76.62205004210047,81.68471893799303,58.23824572258299,0.0737,0.16371,0.45774
41,76.70780929931944,81.74748516989578,58.17447314112929,0.05371,0.16339,0.46098
42,76.63231590847052,81.74784937897762,58.169188759747456,0.03895,0.18103,0.46564
43,76.68431828284628,81.73045566166057,58.19468394815389,0.03975,0.1739,0.47955
44,76.66913468521057,81.68106026850434,58.190403976905976,0.03019,0.22746,0.46684
